lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,sigma_Goby,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_BreachDays,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0889068
# Diagonal elements of inverse mass matrix:
# 0.0161192, 0.0174738, 0.015187, 0.319341, 0.213619, 0.410718, 0.337294, 0.407458, 0.00305071, 0.00158545, 0.00157765, 0.00115671, 0.000626591, 0.00296126, 0.00256523, 0.0104723, 0.0109411, 0.000846893, 0.000783165, 0.00139044, 0.00337752, 0.00322832, 0.00308131, 0.00598461, 0.006081, 0.0176113, 0.0319191, 0.0277719, 0.00610108, 0.00124583, 0.00244076, 0.0622453, 0.00709481, 0.00218595, 0.00135138, 1.48499, 1.71868, 0.000386138, 0.00705071
-2061.85,0.717569,0.0889068,5,31,0,2076.36,2.41178,2.85293,2.25347,1.09405,1.73771,-0.527276,0.149616,0.206964,1,0.00294621,0.00294621,1,1.0138,0.949904,0.676908,-0.587022,-0.168166,0.167855,0.287616,-0.562251,0.378903,0.383272,0.508325,0.409875,-0.00648809,-0.0728145,0.0428353,0.0368099,0.0634242,-0.42779,0.106133,0.0304814,-0.563169,0.136736,-0.312104,-0.430249,0.0281895,-0.0858949,0.179517,0.00367107,0.60013,0.49115
-2064.08,0.910566,0.0889068,6,63,0,2084.31,2.26326,2.88198,2.08733,0.00952076,1.50815,-0.0341866,0.142296,-0.0351229,1,0.0313047,0.0313047,1,0.970661,0.985834,0.724087,-0.610115,-0.11696,0.109893,0.31771,-0.626377,0.412871,0.331371,0.510686,0.501141,0.087065,0.0345701,-0.0439073,-0.039817,-0.000515466,-0.312778,-0.185086,-0.0170053,-0.572144,0.0678667,-0.237197,-0.420339,0.00913172,-0.0820261,0.284198,0.507508,0.598995,0.54323
-2068.37,0.969805,0.0889068,6,63,0,2084.24,2.10036,2.6796,2.00402,0.366994,2.02144,0.0180634,0.671323,0.606349,1,0.0903384,0.0903384,1,0.993377,1.0267,0.71565,-0.56447,-0.064195,0.0595063,0.457888,-0.617782,0.416998,0.333107,0.45586,0.414938,-0.0240476,-0.0187225,-0.000283455,0.0103277,-0.0868957,-0.599386,-0.105591,-0.0193188,-0.525518,0.00658756,-0.0255057,-0.433072,0.0348261,-0.0423548,0.235339,0.00902958,0.599771,0.407312
-2058.22,0.982785,0.0889068,5,31,0,2089.06,2.2051,2.8862,2.08856,0.785391,0.974625,0.0319032,0.285172,0.990167,1,-0.010832,-0.010832,1,1.01694,0.998785,0.70607,-0.557692,-0.208543,0.138531,0.341279,-0.629198,0.383399,0.350295,0.552415,0.422189,0.0100381,0.0534162,0.0103335,-0.0269947,-0.0915091,-0.375704,-0.336383,0.00163292,-0.484664,0.10134,-0.239994,-0.348142,0.0161341,-0.146614,0.17754,0.0343834,0.606037,0.60821
-2065.55,0.971531,0.0889068,5,31,0,2074.64,2.37039,2.67941,2.1817,1.16286,1.70642,-0.201664,-0.126561,-0.158711,1,-0.0431222,-0.0431222,1,0.988895,0.915276,0.736837,-0.613497,-0.224464,0.148522,0.359363,-0.474747,0.38944,0.328949,0.478873,0.358187,0.0455649,-0.0367786,-0.0235424,0.0162331,0.0622636,-0.62453,-0.00212203,-0.0154337,-0.531504,0.222526,-0.546124,-0.294738,0.010159,-0.128419,0.296192,0.246092,0.602892,0.560011
-2066.74,0.977506,0.0889068,6,63,0,2091.09,2.15066,2.73784,2.06353,1.45559,1.12329,-1.16447,-1.08157,-0.348738,1,0.0139852,0.0139852,1,1.00236,1.01491,0.70713,-0.637963,-0.0319555,0.277022,0.47126,-0.548648,0.339253,0.388014,0.590192,0.375269,-0.115414,-0.0272877,0.0919644,0.0640351,0.0660904,-0.454981,0.0470114,0.0668023,-0.505115,0.145192,-0.0575389,-0.435388,0.0130298,-0.150646,0.117381,0.0444737,0.598715,0.48082
-2066.6,0.991292,0.0889068,5,31,0,2081.68,2.23439,2.68655,2.07901,1.63182,1.1633,-1.0974,-0.84348,-0.233557,1,-0.00317277,-0.00317277,1,1.00134,1.01613,0.690457,-0.665556,-0.0628125,0.300738,0.461673,-0.507689,0.360709,0.355648,0.571764,0.354283,-0.0701374,0.00316944,0.0662483,0.0636591,0.105815,-0.282577,-0.0917895,0.0477866,-0.489776,0.175793,-0.0299719,-0.415956,0.0231521,-0.156923,0.111234,0.13732,0.602211,0.556233
-2067.85,0.993474,0.0889068,5,31,0,2091.42,2.05493,2.57288,1.75212,1.26029,0.637841,-1.62375,-0.625961,-0.109399,1,0.0543789,0.0543789,1,1.02642,1.04885,0.719539,-0.562587,-0.183398,0.0614151,0.527194,-0.464637,0.362372,0.373363,0.573782,0.266067,-0.0124524,0.0982017,0.0220363,-0.0314303,0.0675221,-0.239119,0.176475,-0.0307025,-0.491134,0.137824,-0.00351166,-0.225054,0.0216686,-0.0385114,0.12311,0.00340365,0.592517,0.550721
-2066.56,0.977117,0.0889068,6,63,0,2094.09,2.16615,2.78711,2.02832,0.627706,1.27457,0.155805,0.0510503,0.163304,1,-0.0645414,-0.0645414,1,0.957583,0.94504,0.685035,-0.605843,-0.0665801,0.209357,0.23526,-0.483772,0.405837,0.323453,0.47713,0.407276,0.0389861,-0.111432,0.0240025,-0.031254,-0.0645309,-0.313137,-0.327565,-0.036629,-0.447139,0.141741,-0.305219,-0.277292,0.0400609,-0.138963,0.285555,0.0944333,0.604066,0.489238
-2070.64,0.972047,0.0889068,6,63,0,2086.1,2.34255,2.68582,1.95191,0.53156,1.58028,0.272576,-0.329883,1.4098,1,0.0778356,0.0778356,1,1.05235,1.07161,0.721893,-0.601553,-0.231783,0.0573303,0.541328,-0.537037,0.3039,0.409671,0.622778,0.267531,-0.0238927,0.0933162,0.0349436,-0.00782946,-0.0443969,-0.370151,0.0579514,-0.045137,-0.550824,0.1579,0.286498,-0.339178,-0.000991654,-0.0432355,0.022984,0.0194833,0.585435,0.57918
