lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_BreachDays.1,b_BreachDays.2,b_BreachDays.3,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,b_bar_Breach,Rho_Zone.1.1,Rho_Zone.2.1,Rho_Zone.1.2,Rho_Zone.2.2,sigma_Zone.1,sigma_Zone.2,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_BreachDays_sub,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0575441
# Diagonal elements of inverse mass matrix:
# 0.0106548, 0.00477824, 0.00636307, 0.0160509, 0.0174204, 0.0159942, 0.31908, 0.0395019, 0.342795, 0.202929, 0.87871, 0.35435, 0.331193, 0.387228, 0.00319811, 0.00165052, 0.00155416, 0.00105692, 0.00110598, 0.000664454, 0.00298272, 0.00228708, 0.0105768, 0.0106236, 0.000763896, 0.00132292, 0.00358403, 0.00327965, 0.00309819, 0.00640073, 0.00632183, 0.0182041, 0.0313435, 0.0292032, 0.00633, 0.00124723, 0.00219486, 0.0608849, 0.00717077, 0.00232652, 0.00138323, 1.38665, 1.57124, 0.000410116, 0.00754918
-2064.22,0.999939,0.0575441,6,63,0,2081.45,0.228282,0.267002,0.262442,2.10569,2.82163,2.10144,0.486745,0.303263,1,-0.0232008,-0.0232008,1,1.3654,0.16372,-0.395798,0.232973,0.533302,1,0.00421629,0.00421629,1,0.921919,1.02975,0.440122,0.699723,-0.613532,-0.17072,0.0535973,0.452663,-0.638293,0.389365,0.497518,0.293663,-0.130979,-0.0149901,2.78552e-06,0.00519912,0.00110952,-0.120659,-0.00627132,0.00917334,-0.457199,0.230329,-0.313479,-0.335875,-0.0168227,-0.106044,0.157462,0.0106433,0.600179,0.701924
-2064.56,0.991351,0.0575441,6,63,0,2084.38,0.355887,0.329842,0.374421,2.35011,2.51692,1.93434,0.280283,0.360776,1,0.01322,0.01322,1,2.49823,0.0189848,-1.09233,-0.763352,0.0418311,1,-0.0573327,-0.0573327,1,1.04002,0.935679,0.402563,0.738909,-0.561544,-0.12311,0.24541,0.483466,-0.539494,0.387857,0.536751,0.421363,0.0806811,0.0547615,0.043485,0.0334648,0.0763213,-0.582983,-0.197239,0.0387092,-0.43261,0.0291161,0.102361,-0.417214,0.105986,-0.0833804,0.109662,0.0578194,0.589021,0.371898
-2070.61,0.86986,0.0575441,6,63,0,2090.68,0.0711168,0.188346,0.303261,1.79636,2.55586,1.80414,0.132153,0.199158,1,-0.0073616,-0.0073616,1,1.63149,0.146653,-0.326927,-0.127244,0.0993746,1,0.0225314,0.0225314,1,0.943962,1.08908,0.340438,0.683528,-0.615158,-0.0410508,0.0840269,0.438091,-0.494818,0.361595,0.532518,0.357148,-0.0956462,-0.000309196,0.0468497,0.00603849,0.0134265,-0.190392,0.0728725,0.0195168,-0.543893,0.230612,-0.373249,-0.183819,-0.102252,-0.00601207,0.512409,0.100163,0.604037,0.618149
-2067.68,0.976568,0.0575441,6,63,0,2096.07,0.372926,0.341934,0.398174,2.51354,2.80806,2.09226,1.31456,0.386732,1,-0.763313,-0.763313,1,1.3277,0.0452001,-1.16902,-0.936407,-0.546905,1,-0.00796614,-0.00796614,1,1.04903,0.926444,0.475407,0.709548,-0.581578,-0.214269,0.238334,0.29565,-0.445643,0.394815,0.497454,0.408169,0.0529821,-0.0215491,0.218518,0.179557,0.151098,-0.247569,0.0717675,0.192992,-0.448498,0.101627,0.213306,-0.391077,0.161614,-0.11541,0.13902,0.179972,0.602788,0.419355
-2068.3,0.981927,0.0575441,6,63,0,2094.95,0.183692,0.228504,0.330306,2.11698,2.84437,2.16069,1.68692,0.240823,1,0.387931,0.387931,1,0.879891,0.0896591,-1.1384,-1.29587,-0.529811,1,0.00560391,0.00560391,1,0.944245,1.07008,0.346605,0.683486,-0.627051,-0.180121,0.0362741,0.510134,-0.70415,0.332639,0.584154,0.327845,-0.0575896,0.0287219,0.203242,0.167083,0.0678257,-0.31881,-0.092464,0.177323,-0.558463,0.251059,-0.346678,-0.364255,-0.112256,-0.0615824,0.093964,0.196232,0.595102,0.679505
-2052.83,1,0.0575441,6,63,0,2086.01,0.241055,0.302562,0.396941,2.35829,2.71629,1.97246,-0.64552,0.250424,1,0.0119006,0.0119006,1,3.31511,0.168283,-0.618305,-0.669014,-0.0268144,1,-0.0202483,-0.0202483,1,1.07878,1.01922,0.412819,0.751437,-0.620268,-0.218734,0.152436,0.441917,-0.561162,0.364261,0.574889,0.376294,0.0189104,0.0268533,0.0601626,0.0504204,0.0426365,-0.480221,-0.0642745,0.0574107,-0.469499,0.116489,-0.420175,-0.372339,0.0750796,-0.126773,0.144029,0.13077,0.593227,0.479005
-2053.89,0.914892,0.0575441,6,63,0,2070.38,0.19332,0.232284,0.553984,2.25889,2.6947,2.08435,1.45679,0.499699,1,-0.573884,-0.573884,1,1.20528,0.196282,-0.167776,-0.119034,-0.0120422,1,0.0216746,0.0216746,1,0.995725,0.983883,0.324364,0.668635,-0.589772,-0.196647,0.153168,0.432876,-0.491725,0.347577,0.563131,0.224988,-0.0120759,0.0101123,0.0445033,0.0375007,0.0987317,-0.161939,-0.0170121,-0.0106717,-0.527604,0.168775,0.082806,-0.409956,-0.0548131,-0.0584321,0.800205,0.322516,0.578658,0.551148
-2068.1,0.70011,0.0575441,6,63,0,2090.36,0.177431,0.391135,0.416294,2.29437,2.71735,1.88962,1.06696,0.276327,1,-0.0462508,-0.0462508,1,0.699285,0.278401,-1.58375,-0.474145,-0.0247308,1,-0.0421207,-0.0421207,1,1.01991,1.04039,0.419794,0.726826,-0.618617,-0.123148,0.175975,0.451221,-0.490641,0.338809,0.622294,0.407324,-0.0532973,-0.0115504,0.0351444,0.0175041,0.0239118,-0.496284,-0.0540512,0.0250021,-0.502199,0.238055,-0.145398,-0.319343,0.165993,-0.179619,0.0423986,0.0286188,0.57083,0.440014
-2061.32,0.999929,0.0575441,6,63,0,2090.91,0.279068,0.290771,0.399627,2.23016,2.7496,2.09048,1.03407,0.0374884,1,0.265401,0.265401,1,1.4536,0.342833,-1.73796,-0.0437404,-0.369873,1,0.0134221,0.0134221,1,1.06306,0.981072,0.421167,0.69824,-0.600751,-0.204164,0.0939147,0.404332,-0.366751,0.330268,0.546064,0.344978,-0.0232822,-0.0354453,0.0327264,-0.00445328,0.0537234,-0.601941,-0.0450243,0.0216757,-0.456444,0.190982,0.0954136,-0.327216,0.117924,-0.18861,0.08271,0.0417232,0.585138,0.470659
-2061.12,0.998005,0.0575441,6,63,0,2079.84,0.0977301,0.364785,0.359251,2.51752,2.98321,2.26627,0.121618,0.154713,1,0.299737,0.299737,1,2.216,0.166267,-1.76263,-1.15865,0.445021,1,0.0439402,0.0439402,1,0.965815,0.972683,0.378139,0.689899,-0.597239,-0.23241,0.0998014,0.197333,-0.629658,0.393678,0.60851,0.269299,-0.011887,0.00348285,-0.00796073,-0.00711676,0.0864954,-0.0861355,-0.0859543,0.0323799,-0.496853,0.190892,0.118101,-0.354042,-0.0120558,-0.0912181,0.0953306,0.0135598,0.615871,0.565494
-2060.75,0.978573,0.0575441,6,63,0,2079.57,0.238136,0.21313,0.431999,2.40856,2.74654,2.10928,0.290495,0.130803,1,0.579505,0.579505,1,1.93923,0.154458,-0.938979,-0.412254,-1.17157,1,0.0423648,0.0423648,1,1.04101,1.02119,0.315199,0.72002,-0.627317,-0.274399,0.13979,0.388811,-0.402462,0.352313,0.542776,0.350656,0.0522785,-0.00689143,0.0179959,0.0139416,0.0927344,-0.582534,-0.0579369,-0.030691,-0.484392,0.188901,-0.13028,-0.292816,0.0685789,-0.0923878,0.0669499,0.00364875,0.596569,0.48865
-2060.26,0.987028,0.0575441,6,63,0,2081.41,0.205632,0.275135,0.352041,2.22025,2.88518,2.07036,0.269554,0.386285,1,-0.794151,-0.794151,1,1.77381,0.111167,-0.425301,-0.0265482,1.34618,1,-0.0318392,-0.0318392,1,0.959335,0.970746,0.473014,0.683784,-0.596886,-0.107814,0.0791218,0.204307,-0.727714,0.341303,0.557776,0.363611,-0.0532906,0.0151167,-0.00807458,-0.00546341,-0.0214836,-0.352466,-0.212399,-0.0542031,-0.508503,0.133474,-0.129523,-0.441386,-0.035238,-0.0846334,0.0528892,0.02555,0.604806,0.594156
-2059.96,0.967166,0.0575441,6,63,0,2081.72,0.308976,0.313398,0.304093,2.22851,2.53715,2.01237,-0.365986,0.308789,1,0.752092,0.752092,1,3.09717,0.0192073,-0.28439,-0.164809,-0.239879,1,-0.096137,-0.096137,1,0.98691,1.07206,0.35629,0.706196,-0.640068,-0.136396,0.125658,0.243982,-0.525073,0.371237,0.570479,0.394957,-0.0666348,0.012193,-0.00223553,-0.0148541,0.0835167,-0.437478,-0.0474662,0.0588178,-0.500043,0.103463,-0.391023,-0.392877,0.0774931,-0.0693557,0.118263,0.160056,0.586494,0.570549
-2057.12,0.501593,0.0575441,6,63,0,2084.37,0.298463,0.318182,0.317146,2.25572,2.65924,2.0644,0.613676,0.325292,1,0.534897,0.534897,1,3.92343,0.0370769,-0.329242,-0.524214,0.200963,1,-0.0414891,-0.0414891,1,0.996121,1.05005,0.374075,0.715298,-0.646779,-0.119552,0.0957355,0.312093,-0.48273,0.376093,0.587405,0.320734,-0.0928662,0.0304782,-0.0177716,-0.00230656,0.015763,-0.332358,-0.0915298,0.0792738,-0.494513,0.108555,-0.337724,-0.327291,0.0970039,-0.0712938,0.252558,0.11051,0.582181,0.687964
-2053.11,0.533856,0.0575441,6,63,0,2076.56,0.247731,0.302376,0.312157,2.30372,2.60494,2.01202,0.279718,0.254311,1,0.258484,0.258484,1,3.6471,0.0510054,-0.565762,-0.389352,0.211833,1,-0.0327784,-0.0327784,1,0.974574,1.0507,0.36817,0.699485,-0.649336,-0.157881,0.0936944,0.284382,-0.480399,0.356565,0.584854,0.341113,-0.0664823,0.0689462,0.0527586,-0.0169574,0.0493945,-0.445802,-0.0917524,0.0797984,-0.474456,0.0952151,-0.314012,-0.310966,0.0759404,-0.0836715,0.155449,0.134554,0.586712,0.668351
-2065.53,0.971978,0.0575441,6,63,0,2088.65,0.156996,0.199068,0.228205,2.02829,2.49922,1.8163,0.210117,0.206236,1,0.0963121,0.0963121,1,1.1573,0.0537421,0.165038,-0.118512,0.951209,1,-0.103668,-0.103668,1,1.11409,0.999039,0.328582,0.684495,-0.547454,-0.0913219,0.177253,0.332702,-0.38019,0.393151,0.482925,0.392771,-0.0534025,-0.000844215,0.00632734,0.0347211,-0.0342755,-0.330333,-0.178233,-0.0253875,-0.502096,0.179476,0.225153,-0.381799,-0.00269737,0.0148227,0.111292,0.0120383,0.60071,0.426812
-2064.91,0.9478,0.0575441,6,63,0,2089.54,0.198304,0.136347,0.301797,2.13348,2.73201,1.87788,0.334784,0.229222,1,0.046049,0.046049,1,2.54858,0.225616,-0.409383,-0.398822,0.816962,1,-0.0405674,-0.0405674,1,1.06428,0.97508,0.305616,0.711591,-0.590866,-0.0967212,0.178606,0.311708,-0.374224,0.449308,0.501632,0.474321,-0.0645658,0.0796256,-0.0165063,-0.0320421,0.0493007,-0.580292,-0.10655,-0.00774285,-0.54884,0.129439,0.104942,-0.375809,-0.0192311,-0.0575098,0.0923865,0.0412952,0.602083,0.47395
