lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_BreachDays.1,b_BreachDays.2,b_BreachDays.3,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,b_bar_Breach,Rho_Zone.1.1,Rho_Zone.2.1,Rho_Zone.1.2,Rho_Zone.2.2,sigma_Zone.1,sigma_Zone.2,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_BreachDays_sub,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0583983
# Diagonal elements of inverse mass matrix:
# 0.0103946, 0.00473063, 0.00633397, 0.0160032, 0.0168867, 0.0147183, 0.295669, 0.0399016, 0.337792, 0.188204, 0.83657, 0.392247, 0.346695, 0.392906, 0.0030522, 0.00154442, 0.00154574, 0.00116115, 0.00108417, 0.000676921, 0.00288682, 0.00235218, 0.0107459, 0.0107341, 0.000783789, 0.00133527, 0.00372555, 0.0034233, 0.00314126, 0.00506204, 0.00509779, 0.0140107, 0.028156, 0.0266163, 0.00494132, 0.00132866, 0.00221033, 0.0602154, 0.00728408, 0.00229666, 0.00139273, 1.22195, 1.59186, 0.000406579, 0.00714993
-2055.67,0.607721,0.0583983,5,39,0,2076.13,-0.042153,0.338902,0.484651,2.20603,2.66813,2.01543,0.616873,0.27491,1,0.0935692,0.0935692,1,1.22937,0.427372,-0.399707,-0.405708,-0.378606,1,-0.01317,-0.01317,1,0.996923,0.997378,0.365349,0.7311,-0.556245,-0.153508,0.179197,0.244891,-0.541885,0.37325,0.569769,0.327353,-0.0529099,0.0506513,0.329189,0.277694,0.278242,-0.305526,0.25394,0.262743,-0.437766,0.128792,-0.117833,-0.349384,0.0337455,-0.0505998,0.605579,0.733037,0.596475,0.598813
-2059.82,0.831011,0.0583983,6,63,0,2074.55,0.214887,0.266298,0.311347,2.20285,2.73148,1.98806,0.723774,0.197359,1,0.238109,0.238109,1,1.84117,0.104638,-0.480684,-0.499038,-0.307761,1,0.0165771,0.0165771,1,0.956779,1.0322,0.446123,0.694934,-0.599685,-0.154215,0.1194,0.649119,-0.472621,0.407768,0.527542,0.319074,0.0431107,-0.0523474,0.201882,0.296375,0.140201,-0.271845,-0.184303,0.25128,-0.580598,0.220852,-0.329558,-0.29578,-0.0291682,-0.177278,0.278734,0.532266,0.609047,0.448276
-2056.51,0.560462,0.0583983,6,63,0,2081.96,0.234466,0.396269,0.350492,2.14801,2.9145,2.08117,1.17864,0.366643,1,0.040431,0.040431,1,1.53559,0.387276,-0.403846,-0.40341,-0.373064,1,0.00476404,0.00476404,1,0.987737,0.979712,0.400739,0.701025,-0.595265,-0.208315,0.236249,0.38014,-0.427167,0.405896,0.53073,0.362589,0.0367843,0.0573414,0.321965,0.288278,0.097188,-0.573574,-0.108988,0.328711,-0.564113,0.192095,-0.43115,-0.259072,-0.00665404,-0.131378,0.206388,0.80163,0.598877,0.605055
-2055,0.073161,0.0583983,6,63,0,2080.44,0.215425,0.324145,0.464526,2.31105,2.91876,2.06567,0.952105,0.410741,1,0.148891,0.148891,1,1.54482,0.201803,-0.73144,-0.590538,-0.507473,1,0.0022596,0.0022596,1,1.02035,0.995543,0.380513,0.686828,-0.597058,-0.181492,0.153922,0.406593,-0.565336,0.40822,0.491909,0.430051,0.0454736,0.0256777,0.295187,0.315278,0.0509913,-0.578481,-0.0603477,0.330432,-0.569643,0.225572,-0.254971,-0.248586,0.0276811,-0.162987,0.11845,0.495142,0.587154,0.650587
-2056.4,0.771467,0.0583983,6,63,0,2077.79,0.132218,0.214137,0.331519,2.3171,2.64756,2.05909,0.0018913,0.224925,1,0.534361,0.534361,1,2.13972,0.191008,-0.613097,-0.736653,-0.54592,1,-0.00426721,-0.00426721,1,0.964993,1.00632,0.405653,0.7141,-0.615625,-0.18416,0.171182,0.346352,-0.512608,0.339748,0.585355,0.28637,-0.0262265,-0.0250667,0.195226,0.197003,0.0185552,-0.307007,0.119896,0.251134,-0.406527,0.133485,0.0649176,-0.483836,-0.00234179,-0.0376838,0.0885151,0.325744,0.609254,0.457886
-2059.7,0.971698,0.0583983,6,63,0,2090.25,0.134764,0.327685,0.420004,2.12714,2.71019,2.05309,1.2608,0.281781,1,0.364815,0.364815,1,0.716254,0.25769,-1.124,-1.19131,-0.850751,1,0.0130387,0.0130387,1,1.02876,0.992761,0.381568,0.678188,-0.60472,-0.128873,0.151014,0.395821,-0.653829,0.448012,0.475026,0.377111,0.0191045,0.0216658,0.135878,0.146132,0.365367,-0.0883153,0.129056,0.195937,-0.579874,0.173793,-0.295832,-0.195716,0.0054057,-0.108134,0.30027,0.145125,0.58532,0.628449
-2063.37,0.960788,0.0583983,6,63,0,2083.09,0.310871,0.258898,0.351362,2.22572,2.6078,1.91062,1.97042,0.260232,1,-0.572207,-0.572207,1,0.51629,0.0728442,-1.24097,-1.19422,-0.474904,1,0.017364,0.017364,1,1.04836,0.967873,0.364492,0.743034,-0.538818,-0.139981,0.128082,0.396994,-0.460238,0.400471,0.525314,0.334827,0.105342,-0.0275277,0.199971,0.17183,0.261536,-0.0784919,0.254537,0.141179,-0.48733,0.177232,0.092348,-0.506058,-0.0587202,-0.0401562,0.311266,0.172213,0.594531,0.687981
-2061.77,0.904583,0.0583983,6,63,0,2089.87,0.160562,0.272599,0.453353,2.11586,2.55907,1.90326,1.16496,0.217355,1,0.459984,0.459984,1,0.905511,0.151651,-1.22605,-1.19944,-1.02464,1,0.00346643,0.00346643,1,1.05383,1.0227,0.370317,0.640381,-0.676886,-0.1435,0.180791,0.451781,-0.542369,0.369624,0.519943,0.407262,-0.043635,0.0366333,0.289894,0.182635,0.458736,0.140835,0.28631,0.18799,-0.536018,0.169997,-0.198397,-0.301456,0.0433234,-0.0893634,0.47296,0.199897,0.592263,0.502522
-2058.88,0.55058,0.0583983,6,63,0,2082.55,0.294551,0.221742,0.51811,2.11579,2.72688,2.01987,0.25983,0.264936,1,0.0524757,0.0524757,1,2.39607,0.297187,-0.506264,-0.556748,-0.381106,1,0.0040966,0.0040966,1,0.987524,0.960844,0.381961,0.702558,-0.610332,-0.129689,0.182211,0.384537,-0.50303,0.340374,0.553062,0.358059,-0.0140732,-0.0256722,0.184177,0.299929,0.390932,-0.162951,0.251091,0.296346,-0.445604,0.21897,0.0818217,-0.320738,-0.0484524,-0.0945427,0.62174,0.557199,0.619986,0.490334
-2059.49,0.959186,0.0583983,6,63,0,2076.04,0.0524237,0.251587,0.242673,2.21077,2.61481,1.94547,1.11834,-0.0115596,1,-0.256656,-0.256656,1,1.08933,0.145257,-0.837958,-0.659663,-0.54704,1,0.00522084,0.00522084,1,0.968941,1.06753,0.395938,0.68059,-0.623069,-0.191364,0.0790233,0.588355,-0.558642,0.393417,0.526484,0.335743,0.0348696,0.0369286,0.221707,0.238831,0.523993,0.218026,0.45523,0.250553,-0.465732,0.112172,-0.00554741,-0.26309,0.0558563,-0.0975368,0.77569,0.331372,0.573625,0.557893
-2057.9,0.951795,0.0583983,6,63,0,2074.71,0.286921,0.28208,0.565372,2.25575,2.81535,1.96674,1.0418,0.400735,1,-0.598607,-0.598607,1,1.49002,0.583623,-0.768474,-0.673815,-0.525672,1,0.0287574,0.0287574,1,1.05365,0.947631,0.381906,0.718356,-0.573165,-0.167731,0.190435,0.295941,-0.447689,0.356112,0.589403,0.336495,-0.0464085,0.0136132,0.125442,0.114762,0.570947,0.120185,0.585139,0.129715,-0.497527,0.210911,-0.42474,-0.379362,-0.0483343,-0.105446,0.891509,0.21697,0.610936,0.605578
-2064.34,0.865532,0.0583983,6,63,0,2084.55,0.178343,0.208474,0.546633,2.2872,2.76983,2.28765,0.83978,0.206366,1,0.585588,0.585588,1,1.29605,0.141738,-0.584924,-0.525711,-0.390606,1,-0.136615,-0.136615,1,0.991834,1.00382,0.357276,0.692629,-0.634954,-0.271514,0.228058,0.44799,-0.664991,0.345492,0.562655,0.339241,0.0254294,0.142855,0.127444,0.118986,0.741654,0.386412,0.515145,0.125579,-0.505382,0.18241,-0.301619,-0.379012,-0.049114,-0.0527181,1.43026,0.30315,0.605161,0.553899
-2058.69,0.345902,0.0583983,6,63,0,2084.68,0.236646,0.290715,0.442548,2.45193,2.70529,1.90754,1.04878,0.307745,1,-0.405292,-0.405292,1,1.38691,0.834438,-1.55026,-1.4067,-1.08948,1,0.0359309,0.0359309,1,1.07945,1.02339,0.391685,0.67507,-0.625048,-0.211705,0.17365,0.392832,-0.498009,0.335623,0.582033,0.362357,0.0601864,0.0500323,0.113996,0.1009,0.550564,0.132071,0.444278,0.0985895,-0.515809,0.219008,-0.315524,-0.388607,0.0500349,-0.0445808,0.391307,0.0736337,0.606177,0.458164
-2064.32,0.816041,0.0583983,6,63,0,2090.43,0.135107,0.282635,0.478752,2.52556,2.79376,1.89433,1.54306,0.325846,1,-0.229749,-0.229749,1,1.66704,0.382566,-1.61953,-1.31053,-1.19634,1,0.0549911,0.0549911,1,1.05886,1.00398,0.412029,0.671669,-0.637954,-0.201672,0.158426,0.325207,-0.531659,0.352361,0.599283,0.358812,0.0214595,-0.0222582,0.124498,0.0971358,0.44395,0.227851,0.492375,0.0911722,-0.563223,0.225119,-0.252794,-0.420736,0.0348628,-0.0543428,0.345,0.0810597,0.604534,0.443332
-2076.09,0.825572,0.0583983,5,53,1,2092.36,0.118549,0.200287,0.424738,2.34228,2.70928,2.13187,0.924659,0.265538,1,0.0457958,0.0457958,1,0.67459,0.245643,-2.17797,-2.01384,-1.68462,1,0.0423731,0.0423731,1,1.06526,1.06894,0.49459,0.684289,-0.636048,-0.0703015,0.0777063,0.417864,-0.510701,0.385468,0.55202,0.302255,0.0745637,-0.0860318,0.0419062,0.0735112,0.618943,0.0533454,0.313129,0.0471915,-0.541093,0.180212,-0.44621,-0.545253,-0.0184558,-0.0356799,0.318603,0.0387367,0.589626,0.497448
-2063.11,0.981472,0.0583983,6,63,0,2099.16,0.319166,0.304443,0.340929,2.2944,2.94027,2.0689,1.25261,0.306665,1,-0.146556,-0.146556,1,3.61016,0.0900932,-1.12043,-0.724056,-0.515898,1,-0.0151023,-0.0151023,1,0.971941,0.971187,0.420919,0.754337,-0.583188,-0.275096,0.126445,0.408026,-0.548686,0.380581,0.541023,0.347853,0.0281646,0.00485021,-0.0152519,0.018113,0.236304,0.0366783,0.248149,-0.0299922,-0.462522,0.259515,0.185465,-0.23998,-0.00993232,-0.147134,0.349215,0.00177111,0.607466,0.59087
-2060.35,0.961481,0.0583983,6,63,0,2098.02,0.219099,0.238798,0.263553,2.12465,2.60953,1.8445,0.627037,0.228985,1,0.366651,0.366651,1,1.37655,0.0258927,-0.0962537,-0.0547813,-0.107664,1,0.0298091,0.0298091,1,0.998942,0.987482,0.37887,0.641117,-0.624357,-0.111649,0.136848,0.392501,-0.481527,0.372972,0.564661,0.397602,-0.0209916,0.0336353,-0.0167248,0.135406,-0.0310715,-0.480199,-0.0354645,0.132843,-0.509918,0.0802836,-0.205625,-0.436966,0.0348293,-0.0211196,0.302938,0.508324,0.61192,0.61417
-2059.25,0.884678,0.0583983,6,63,0,2088.76,0.269263,0.277458,0.248341,2.15033,2.53217,1.83531,0.896663,0.266321,1,0.234371,0.234371,1,1.2442,0.0237407,-0.276597,-0.228843,-0.294002,1,0.0213039,0.0213039,1,0.962934,0.921345,0.424863,0.688092,-0.635542,-0.100369,0.176665,0.345241,-0.335006,0.36766,0.519274,0.428151,-0.0472716,0.052942,0.0610865,0.0632181,0.109193,-0.63845,-0.130492,0.0968002,-0.535793,0.0533496,-0.461795,-0.307673,-0.00235779,-0.0287996,0.27312,0.23293,0.605413,0.64599
